title,author,is_loaned,copies,genre,year,book_ID,popularity
The Catcher in the Rye,J.D. Salinger,"{\"cp1\": \"No\", \"cp2\": \"No\", \"cp3\": \"No\"}",3,Fiction,1951,1000,0
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,1000,0
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,1001,2
1984,George Orwell,Yes,5,Dystopian,1949,1002,5
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,1003,0
Moby Dick,Herman Melville,No,1,Adventure,1851,1004,0
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,1005,3
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,1006,0
Great Expectations,Charles Dickens,No,3,Classic,1861,1007,0
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,1008,1
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,1009,0
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,1010,1
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,1011,0
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,1012,0
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,1013,2
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,1014,0
The Iliad,Homer,Yes,1,Epic Poetry,-750,1015,1
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,1016,0
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,1017,1
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,1018,3
Catch-22,Joseph Heller,No,4,Satire,1961,1019,0
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,1020,2
Brave New World,Aldous Huxley,No,5,Dystopian,1932,1021,0
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,1022,3
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,1023,0
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,1024,1
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,1025,0
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,1026,4
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,1027,2
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,1028,0
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,1029,5
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,1030,0
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,1031,4
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,1032,0
The Odyssey,Homer,Yes,2,Epic Poetry,-800,1033,2
